1 ; 0.1
2 ; 0.2
3 ; 0.3
4 ; 0.1
5 ; 0.8
6 ; 0.6
7 ; 0.3
8 ; 0.2
9 ; 0.2
10 ; 0.4
11 ; 1.0
12 ; 0.0
13 ; 0.4
14 ; 0.5
15 ; 0.6
16 ; 0.6
17 ; 0.5
18 ; 0.7
19 ; 0.1
20 ; 0.9
21 ; 0.5
22 ; 0.7
23 ; 0.2
24 ; 0.4
25 ; 0.3
26 ; 0.6
27 ; 0.2
28 ; 0.6
29 ; 0.2
30 ; 0.2
31 ; 0.7
32 ; 0.3
33 ; 0.8
34 ; 0.5
35 ; 0.5
36 ; 0.1
37 ; 0.8
38 ; 0.1
39 ; 0.6
40 ; 0.3
41 ; 0.4
42 ; 0.6
43 ; 0.9
44 ; 0.7
45 ; 0.3
46 ; 0.4
47 ; 0.1
48 ; 0.2
49 ; 0.7
50 ; 0.5
51 ; 0.7
52 ; 0.1
53 ; 0.3
54 ; 1.0
55 ; 0.1
56 ; 0.2
57 ; 0.7
58 ; 0.8
59 ; 0.3
60 ; 0.2
61 ; 0.9
62 ; 0.7
63 ; 0.3
64 ; 0.3
65 ; 0.5
66 ; 0.3
67 ; 0.4
68 ; 0.1
69 ; 0.4
70 ; 0.3
71 ; 0.3
72 ; 0.6
73 ; 0.4
74 ; 0.3
75 ; 0.7
76 ; 0.4
77 ; 0.2
78 ; 0.1
79 ; 0.4
80 ; 0.4
81 ; 0.6
82 ; 0.2
83 ; 0.4
84 ; 0.6
85 ; 0.0
86 ; 0.5
87 ; 0.1
88 ; 0.2
89 ; 0.4
90 ; 0.9
91 ; 0.7
92 ; 0.8
94 ; 0.3
95 ; 0.3
96 ; 0.2
97 ; 0.4
98 ; 0.3
99 ; 0.3
100 ; 0.3
